n,time
550.0,5.44411
550.0,5.464357
550.0,5.151912
550.0,5.484491
550.0,5.871469
550.0,5.523294
550.0,4.987182
550.0,5.859909
550.0,5.605347
550.0,7.386798
650.0,7.436108
650.0,7.634815
650.0,11.233646
650.0,13.692557
650.0,85.49766
650.0,8.297424
650.0,8.890983
650.0,8.184139
650.0,8.229355
650.0,7.227965
350.0,2.673128
350.0,2.959169
350.0,2.218523
350.0,2.151701
350.0,2.133547
350.0,2.160226
350.0,2.15766
350.0,2.727417
350.0,2.39075
350.0,2.391617
150.0,0.565536
150.0,0.425047
150.0,0.41816
150.0,1.303368
150.0,0.453141
150.0,0.657502
150.0,0.581478
150.0,1.012724
150.0,0.425824
150.0,0.611329
50.0,0.247824
50.0,0.221811
50.0,0.220625
50.0,0.357579
50.0,0.253778
50.0,0.334949
50.0,0.327254
50.0,0.344526
50.0,2.913192
50.0,3.253226
250.0,3.147845
250.0,1.113822
250.0,1.032147
250.0,1.050909
250.0,1.089913
250.0,1.03742
250.0,1.464677
250.0,1.167528
250.0,1.238399
250.0,3.546097
450.0,3.497774
450.0,3.52339
450.0,3.781341
450.0,3.548897
450.0,3.71612
450.0,3.414368
450.0,3.849687
450.0,3.479622
450.0,3.928381
450.0,3.728526
